wairlinewarrivalwarrival_timewdatewdeparturewdeparture_timewoverall_hourwpricewlinks
27w에어아시아엑스wSINw08:30w2020.04.06wICNw16:25w17시간w106,499whttps://flight.naver.com/flights/v2/results?trip=OW&scity1=ICN&ecity1=SIN&adult=1&child=0&infant=0&sdate1=2020.04.06.&fareType=Y&selectedFlight=1:20200406ICNKULD70505%2B20200407KULSINAK0703:A01:HK:D7
28w에어아시아엑스wSINw10:50w2020.04.06wICNw16:25w19시간w106,499whttps://flight.naver.com/flights/v2/results?trip=OW&scity1=ICN&ecity1=SIN&adult=1&child=0&infant=0&sdate1=2020.04.06.&fareType=Y&selectedFlight=1:20200406ICNKULD70505%2B20200407KULSINAK0707:A01:HK:D7
29w에어아시아엑스wSINw13:40w2020.04.06wICNw16:25w22시간w108,315whttps://flight.naver.com/flights/v2/results?trip=OW&scity1=ICN&ecity1=SIN&adult=1&child=0&infant=0&sdate1=2020.04.06.&fareType=Y&selectedFlight=1:20200406ICNKULD70505%2B20200407KULSIND70678:A01:HK:D7
30w에어아시아엑스wSINw18:30w2020.04.07wICNw09:45w09시간w106,499whttps://flight.naver.com/flights/v2/results?trip=OW&scity1=ICN&ecity1=SIN&adult=1&child=0&infant=0&sdate1=2020.04.07.&fareType=Y&selectedFlight=1:20200407ICNKULD70507%2B20200407KULSINAK0717:A01:HK:D7
31w에어아시아엑스wSINw20:00w2020.04.07wICNw09:45w11시간w106,499whttps://flight.naver.com/flights/v2/results?trip=OW&scity1=ICN&ecity1=SIN&adult=1&child=0&infant=0&sdate1=2020.04.07.&fareType=Y&selectedFlight=1:20200407ICNKULD70507%2B20200407KULSINAK0719:A01:HK:D7
32w에어아시아엑스wSINw20:45w2020.04.07wICNw09:45w12시간w106,499whttps://flight.naver.com/flights/v2/results?trip=OW&scity1=ICN&ecity1=SIN&adult=1&child=0&infant=0&sdate1=2020.04.07.&fareType=Y&selectedFlight=1:20200407ICNKULD70507%2B20200407KULSINAK0721:A01:HK:D7
33w에어아시아엑스wSINw08:30w2020.04.07wICNw16:25w17시간w106,499whttps://flight.naver.com/flights/v2/results?trip=OW&scity1=ICN&ecity1=SIN&adult=1&child=0&infant=0&sdate1=2020.04.07.&fareType=Y&selectedFlight=1:20200407ICNKULD70505%2B20200408KULSINAK0703:A01:HK:D7
34w에어아시아엑스wSINw10:50w2020.04.07wICNw16:25w19시간w106,499whttps://flight.naver.com/flights/v2/results?trip=OW&scity1=ICN&ecity1=SIN&adult=1&child=0&infant=0&sdate1=2020.04.07.&fareType=Y&selectedFlight=1:20200407ICNKULD70505%2B20200408KULSINAK0707:A01:HK:D7
35w에어아시아엑스wSINw18:30w2020.04.08wICNw09:45w09시간w106,499whttps://flight.naver.com/flights/v2/results?trip=OW&scity1=ICN&ecity1=SIN&adult=1&child=0&infant=0&sdate1=2020.04.08.&fareType=Y&selectedFlight=1:20200408ICNKULD70507%2B20200408KULSINAK0717:A01:HK:D7
36w에어아시아엑스wSINw20:00w2020.04.08wICNw09:45w11시간w106,499whttps://flight.naver.com/flights/v2/results?trip=OW&scity1=ICN&ecity1=SIN&adult=1&child=0&infant=0&sdate1=2020.04.08.&fareType=Y&selectedFlight=1:20200408ICNKULD70507%2B20200408KULSINAK0719:A01:HK:D7
